object_id,full_id,osm_id,osm_type,amenity,name,operator,lon,lat
72,n1616036602,1616036602,node,bank,Banco Sabadell,Banco Sabadell,-0.3742877,39.4913169
73,n1616042430,1616042430,node,bank,BBVA,BBVA,-0.3735688,39.4924636
74,n1616053772,1616053772,node,bank,Banco Santander, ,-0.3752243,39.4901074
75,n1616065537,1616065537,node,bank,Caixabank, ,-0.3813885,39.493738
76,n1616071524,1616071524,node,bank,Caja Rural, ,-0.378717,39.4931957
77,n1616072386,1616072386,node,bank,Banco Santander, ,-0.377966,39.4944045
78,n1671638771,1671638771,node,bank,Caixabank, ,-0.3393227,39.4677193
79,n1671639554,1671639554,node,bank,Bancaja, ,-0.3392255,39.4680517
80,n1699212749,1699212749,node,bank,Bancaja, ,-0.3723934,39.4561168
81,n1708719158,1708719158,node,bank,Banco Santander, ,-0.3443385,39.4619119
82,n1708719178,1708719178,node,bank,Banco Sabadell, ,-0.3451137,39.46332
83,n1712713241,1712713241,node,bank,Deutsche Bank, ,-0.3459008,39.4586693
84,n1712738755,1712738755,node,bank,Banco Santander, ,-0.3489354,39.4593432
85,n1712738769,1712738769,node,bank,Bankia,Bankia,-0.3505312,39.4596882
86,n1719288349,1719288349,node,bank,Bankia, ,-0.3906061,39.4354402
87,n1889271727,1889271727,node,bank,Banco Santander,"Banco Santander, S.A.",-0.3464565,39.4642205
88,n1889271740,1889271740,node,bank,Caixabank, ,-0.3459734,39.4593067
89,n1896631980,1896631980,node,bank,Barclays, ,-0.3490599,39.4599463
90,n1958814137,1958814137,node,bank,Banco Santander,"Banco Santander, S.A.",-0.3434725,39.4812324
91,n1958814150,1958814150,node,bank,Bankia, ,-0.3439338,39.4813638
92,n2288371259,2288371259,node,bank,Bankia, ,-0.3745594,39.4604118
93,n2475527911,2475527911,node,bank,BBVA,BBVA,-0.3792412,39.4679214
94,n2475527912,2475527912,node,bank,Bankia,Bankia,-0.3783999,39.4677001
95,n2475527913,2475527913,node,bank,Bankia,Bankia,-0.380385,39.4682103
96,n2506451016,2506451016,node,bank,Banco Evo, ,-0.3763102,39.469064
97,n2506451020,2506451020,node,bank,Unicaja Banco, ,-0.3765173,39.4690548
98,n2506451024,2506451024,node,bank,Cajamar,Cajamar,-0.3768399,39.4679484
99,n2506470158,2506470158,node,bank,Banco Santander,Banco Santander,-0.3687289,39.4716596
100,n2506470168,2506470168,node,bank,Triodos Bank, ,-0.3678626,39.4724345
101,n2506490495,2506490495,node,bank,Caixabank,La Caixa,-0.3489213,39.4707301
102,n2506490499,2506490499,node,bank,Banco Sabadell, ,-0.3479003,39.473204
103,n2507735997,2507735997,node,bank,EVO, ,-0.3493986,39.4706334
104,n2508172996,2508172996,node,bank,Banco de Valencia,La Caixa,-0.3729206,39.4682947
105,n2508406541,2508406541,node,bank,BBVA,BBVA,-0.3471262,39.4732547
106,n2508922270,2508922270,node,bank,Banco Santander,Banco Popular,-0.3465616,39.4740877
107,n2508922298,2508922298,node,bank,Kutxabank, ,-0.3456691,39.4738233
108,n2508922299,2508922299,node,bank,Caixabank, ,-0.3467969,39.4741574
109,n2700016883,2700016883,node,bank,BBVA,BBVA,-0.3266113,39.4844339
110,n2700293395,2700293395,node,bank,Banco de Valencia, ,-0.3756227,39.4760997
111,n3014161762,3014161762,node,bank,Bankia, ,-0.3863746,39.4661881
112,n3394592693,3394592693,node,bank,Banco Santander, ,-0.358892,39.4783885
113,n3540455758,3540455758,node,bank,Bankia, ,-0.4192543,39.5017258
114,n3657800507,3657800507,node,bank,Banco Sabadell, ,-0.3728395,39.4711938
115,n3657800511,3657800511,node,bank,BBVA, ,-0.3740036,39.4706982
116,n3657800514,3657800514,node,bank,CCM, ,-0.3735799,39.4708171
117,n3657800522,3657800522,node,bank,Kutxabank, ,-0.3730157,39.4710786
118,n3657800523,3657800523,node,bank,Banco Santander, ,-0.3726566,39.4712811
119,n3657800628,3657800628,node,bank,Banco de Valencia, ,-0.3737029,39.4704903
120,n3657800631,3657800631,node,bank,Unicaja Banco, ,-0.3722068,39.4713312
121,n3657800636,3657800636,node,bank,Bankia, ,-0.3728156,39.470966
122,n3657800640,3657800640,node,bank,BBVA, ,-0.374073,39.4703237
123,n3657800662,3657800662,node,bank,Cajamar, ,-0.3723978,39.4711676
124,n3657800670,3657800670,node,bank,Bankia, ,-0.3740183,39.4679181
125,n3657800672,3657800672,node,bank,Banco Santander, ,-0.3742843,39.4703166
126,n3658278546,3658278546,node,bank,Banco Santander, ,-0.3733877,39.4647243
127,n3658278555,3658278555,node,bank,Caixabank, ,-0.373754,39.4646221
128,n3658278556,3658278556,node,bank,Banco Santander, ,-0.3719903,39.4634799
129,n3699314138,3699314138,node,bank,Bankia, ,-0.3709894,39.4814575
130,n4165872391,4165872391,node,bank,ING,"ING Bank NV, Sucursal en España",-0.3772565,39.4718834
131,n4225859792,4225859792,node,bank, , ,-0.3869307,39.4742663
132,n4366597895,4366597895,node,bank,Bankia, ,-0.4038858,39.4546979
133,n4366640489,4366640489,node,bank,Cajamar, ,-0.4025425,39.4555493
134,n4663518763,4663518763,node,bank,Bankia, ,-0.3801118,39.4474057
135,n4663518765,4663518765,node,bank,Caixabank, ,-0.3799522,39.4481081
136,n4663518767,4663518767,node,bank,Cajamar, ,-0.3796844,39.4476841
137,n4741567132,4741567132,node,bank,Mapfre, ,-0.3890355,39.4750198
138,n4744208031,4744208031,node,bank,Caja Castilla La Mancha, ,-0.3783957,39.468694
139,n4816456621,4816456621,node,bank,Banco Sabadell, ,-0.3849162,39.47061
140,n4825262923,4825262923,node,bank,Bankia,Bankia,-0.3747247,39.4781329
141,n4826561131,4826561131,node,bank,Caixabank, ,-0.3781904,39.4705459
142,n4892909527,4892909527,node,bank,OpenFinance, ,-0.3720472,39.471517
143,n4892909528,4892909528,node,bank,Ocaso Seguros, ,-0.3719351,39.4715155
144,n4892914724,4892914724,node,bank,Mutua Madrileña, ,-0.3724356,39.4712343
145,n4892914830,4892914830,node,bank,Banco Santander, ,-0.3769666,39.4712201
146,n4893668823,4893668823,node,bank,Bankia, ,-0.3897585,39.4695135
147,n4893669125,4893669125,node,bank,Banco Santander, ,-0.3902804,39.4694328
148,n4907454029,4907454029,node,bank,Banco Santander, ,-0.3804264,39.467205
149,n4907454031,4907454031,node,bank,Banco Santander, ,-0.3805272,39.4670559
150,n4911702223,4911702223,node,bank,Kutxabank, ,-0.3627967,39.4759578
151,n4989782807,4989782807,node,bank,Banco de Valencia, ,-0.3568638,39.4673123
152,n4989821189,4989821189,node,bank,Ibercaja, ,-0.3531641,39.4662936
153,n4989832536,4989832536,node,bank,Caixabank, ,-0.3476796,39.4646421
154,n4989867666,4989867666,node,bank,Banco Santander, ,-0.3357049,39.4610614
155,n4989867672,4989867672,node,bank,BBVA, ,-0.3372014,39.4615637
156,n4989970385,4989970385,node,bank,Bankia, ,-0.3349805,39.4605449
157,n4992282374,4992282374,node,bank,Bancaja, ,-0.3568681,39.4669895
158,n5044808326,5044808326,node,bank,Banco Santander, ,-0.3922183,39.4676072
159,n5044808339,5044808339,node,bank,Banco Santander, ,-0.3742437,39.4698875
160,n5044810230,5044810230,node,bank,Banco Santander, ,-0.3739364,39.4684596
161,n5044810232,5044810232,node,bank,Deustche Bank, ,-0.3739842,39.4693254
162,n5044810925,5044810925,node,bank,Cajamar, ,-0.3893017,39.4667324
163,n5044810926,5044810926,node,bank,BBVA, ,-0.3813215,39.4656746
164,n5044810938,5044810938,node,bank,Ibercaja, ,-0.3748239,39.469092
165,n5044811221,5044811221,node,bank,Banco Santander, ,-0.4028152,39.4696892
166,n5045106021,5045106021,node,bank,Bankia,Servired,-0.3771099,39.4688645
167,n5046860632,5046860632,node,bank,Caja de Ahorros del Mediterráneo, ,-0.3780767,39.473421
168,n5046886422,5046886422,node,bank,Caixabank, ,-0.3779719,39.4737108
169,n5046970826,5046970826,node,bank,Banco Santander, ,-0.3752259,39.4768336
170,n5167202845,5167202845,node,bank,Bankia, ,-0.3307767,39.4625689
171,n5203171851,5203171851,node,bank,Bankia, ,-0.3401531,39.4208585
172,n5245863499,5245863499,node,bank,Banco Santander, ,-0.4014952,39.4921968
173,n5382634208,5382634208,node,bank,BBVA,La Caixa,-0.3736697,39.4877678
174,n5457116363,5457116363,node,bank,Ibercaja, ,-0.3708447,39.4608482
175,n5457892434,5457892434,node,bank,Kutxabank,kutxabank,-0.3845153,39.4690851
176,n5457955862,5457955862,node,bank,Banco Santander,Popular,-0.3860985,39.4713453
177,n5457955863,5457955863,node,bank,Banco Santander,santander,-0.3859227,39.4710844
178,n5476101826,5476101826,node,bank,Bankia, ,-0.3279541,39.4801706
179,n5497060422,5497060422,node,bank,Banco Santander,Banco Santander,-0.3624743,39.4765706
180,n5609473040,5609473040,node,bank,Banco Santander,4b,-0.3868668,39.4476894
181,n5609473041,5609473041,node,bank,BBVA,Servired,-0.3893999,39.4480786
182,n5609473042,5609473042,node,bank,Bankia,Servired,-0.3896856,39.4484977
183,n5835027866,5835027866,node,bank,Caixabank, ,-0.3281768,39.4764573
184,n5835027871,5835027871,node,bank,Banco Sabadell, ,-0.3279421,39.4780028
185,n5912441854,5912441854,node,bank,BBVA, ,-0.4016286,39.4924809
186,n5912441855,5912441855,node,bank,Caixabank, ,-0.4016002,39.4924391
187,n5960058002,5960058002,node,bank,Bankia, ,-0.3565026,39.4816763
188,n5960058058,5960058058,node,bank,Banco Santander, ,-0.3574249,39.4801199
189,n5960058059,5960058059,node,bank,Caixabank, ,-0.3569761,39.4797941
190,n5972762969,5972762969,node,bank,Banco Sabadell,Banco Sabadell,-0.3632276,39.4751508
191,n6003222159,6003222159,node,bank,Cajamar, ,-0.3604482,39.48555
192,n6003222160,6003222160,node,bank,Caixabank, ,-0.3605097,39.4853893
193,n6003222163,6003222163,node,bank,Bankia, ,-0.359476,39.4859458
194,n6003222164,6003222164,node,bank,BBVA, ,-0.3586963,39.4889592
195,n6003284874,6003284874,node,bank,Banco Santander, ,-0.361679,39.4857383
196,n6046680109,6046680109,node,bank,Caixabank, ,-0.366316,39.4677606
197,n6046696376,6046696376,node,bank,Bankia, ,-0.3669162,39.4675344
198,n6303562260,6303562260,node,bank,Bankia, ,-0.3599863,39.4891658
199,n6316036475,6316036475,node,bank,Banco Santander, ,-0.3604501,39.4889025
200,n6320623001,6320623001,node,bank,Bankia, ,-0.3637575,39.4842899
201,n6320623002,6320623002,node,bank,BBVA, ,-0.3633586,39.4840042
202,n6329645165,6329645165,node,bank,BBVA, ,-0.3658462,39.4912711
203,n6329645166,6329645166,node,bank,Caixabank, ,-0.3664772,39.4918936
204,n6406050977,6406050977,node,bank,Bankia, ,-0.3866743,39.4554139
205,n6411065159,6411065159,node,bank,Bankia, ,-0.3882924,39.459322
206,n6415886586,6415886586,node,bank,Banco Sabadell, ,-0.3716649,39.4613218
207,n6415909158,6415909158,node,bank,Bankia, ,-0.3713266,39.4627875
208,n6425534325,6425534325,node,bank,Banco Santander, ,-0.3663027,39.4635696
209,n6425534326,6425534326,node,bank,Banco Sabadell, ,-0.3658705,39.4634801
210,n6425560361,6425560361,node,bank,Banco Santander, ,-0.3575859,39.4675643
211,n6436894204,6436894204,node,bank,Banco Santander, ,-0.3864369,39.4630157
212,n6439787527,6439787527,node,bank,Banco Santander, ,-0.3843874,39.4686845
213,n6439787531,6439787531,node,bank,Cajamar, ,-0.3828083,39.4666771
214,n6440347693,6440347693,node,bank,Banco Sabadell, ,-0.3898482,39.4711132
215,n6443870731,6443870731,node,bank,Bankia, ,-0.3529699,39.4738107
216,n6444763100,6444763100,node,bank,Cajamar, ,-0.3841317,39.4913482
217,n6444763101,6444763101,node,bank,Banco Santander, ,-0.3864126,39.492435
218,n6445298658,6445298658,node,bank,Caixabank, ,-0.3935995,39.4927845
219,n6445298660,6445298660,node,bank,Banco Sabadell, ,-0.3938337,39.4929959
220,n6445298661,6445298661,node,bank,Bankia, ,-0.3945051,39.4927237
221,n6445298662,6445298662,node,bank,Cajamar, ,-0.3941797,39.4929677
222,n6446344500,6446344500,node,bank,Caixabank, ,-0.3436883,39.4698717
223,n6450391221,6450391221,node,bank,Caixabank, ,-0.3509111,39.4597237
224,n6473361745,6473361745,node,bank,Banco Santander, ,-0.3466083,39.4698159
225,n6473384822,6473384822,node,bank,Bankia, ,-0.345714,39.4691514
226,n6473384824,6473384824,node,bank,Banco Sabadell, ,-0.3475349,39.4684914
227,n6473384827,6473384827,node,bank,Bankia, ,-0.3479167,39.4647076
228,n6549230890,6549230890,node,bank,Bankia, ,-0.3786329,39.4728674
229,n6617335258,6617335258,node,bank,Bankia,Bankia,-0.3504622,39.4681328
230,n6617346032,6617346032,node,bank,Cajamar, ,-0.3507326,39.4674059
231,n6812665588,6812665588,node,bank,BBVA, ,-0.3646276,39.4631944
232,n6879108308,6879108308,node,bank,Caixabank, ,-0.368454,39.470169
233,n6935539926,6935539926,node,bank,Banco Santander, ,-0.3702605,39.4822163
234,n6935539933,6935539933,node,bank,Targobank, ,-0.3702094,39.4824948
235,n6946240000,6946240000,node,bank,BBVA, ,-0.3555365,39.4803109
236,n6959529064,6959529064,node,bank,Banco Sabadell, ,-0.3630022,39.4811133
237,n6960375094,6960375094,node,bank,Banco Sabadell, ,-0.3699827,39.4834877
238,n6960375098,6960375098,node,bank,Caixabank, ,-0.3698088,39.4837927
239,n6960734662,6960734662,node,bank,Banco Sabadell, ,-0.3618108,39.4862181
240,n6973473955,6973473955,node,bank,Banco Sabadell, ,-0.3626054,39.4618799
241,n6994555069,6994555069,node,bank,Bankia, ,-0.3988037,39.4715126
242,n7013453825,7013453825,node,bank,BBVA, ,-0.3989305,39.4718166
243,n7013453828,7013453828,node,bank,Banco Santander, ,-0.3986874,39.4717945
244,n7042234819,7042234819,node,bank,Banco Pichincha, ,-0.3728073,39.4646359
245,n7256081191,7256081191,node,bank,BBVA, ,-0.3759257,39.4523385
246,n7383379719,7383379719,node,bank,Banco Santander,Santander,-0.3644098,39.4830102
247,n7390735095,7390735095,node,bank,Bankia, ,-0.3881199,39.4741534
248,n164123074,164123074,node,bar,Gilda, ,-0.3822345,39.4748253
249,n529774244,529774244,node,bar,Bar Molino II, ,-0.39947,39.4853697
250,n529774469,529774469,node,bar,Bar Les Tendetes, ,-0.3997385,39.485786
251,n530083324,530083324,node,bar, , ,-0.3955433,39.4812335
252,n530085846,530085846,node,bar, , ,-0.3960111,39.4810836
253,n530094813,530094813,node,bar,Barrestaurante Iván, ,-0.3998755,39.4851744
254,n530094816,530094816,node,bar,Montaditos Karina, ,-0.3999168,39.4848382
255,n1012745350,1012745350,node,bar,Zazu Lounge Shisha Bar, ,-0.3571791,39.469265
256,n1189715704,1189715704,node,bar,El Rincón de Jose IV, ,-0.400312,39.4596202
257,n1189716470,1189716470,node,bar,Alejandro Chen, ,-0.3914605,39.4541649
258,n1189718469,1189718469,node,bar,Champi, ,-0.393373,39.4541771
259,n1452023093,1452023093,node,bar,Bocadito's Bar, ,-0.394157,39.4783
260,n1452105333,1452105333,node,bar,Joypa, ,-0.3951137,39.478686
261,n1452342489,1452342489,node,bar,Cervecería Ciro, ,-0.3943911,39.4799012
262,n1452342494,1452342494,node,bar,La Botillería, ,-0.3956174,39.4800168
